Timestamp,"First, we are going to create a pseudonym for you to keep this survey anonymous (more or less). Which pseudonym generator would you prefer?",What is your pseudonym?,Sex,Major,Academic Year,Year you were born (YYYY),Which musical instruments/talents do you play? (Select all that apply),Artist,Song,Link to song (on Youtube or Vimeo)
8/27/19 20:22,Fake rapper name generator,Lord Los Angeles,Male,Computer Science,Senior,1994,Rap,40 crew,Not Enough,https://www.youtube.com/watch?v=uITuGZKljgQ
8/29/19 12:15,Fake band name generator,Heroes War,Male,Computer Science,Junior,1997,Guitar,Arctic Monkeys,Arabella,https://www.youtube.com/watch?v=Jn6-TItCazo
8/28/19 19:33,Fake band name generator,Puppets War,Male,Math,Senior,1996,Guitar,Avatar,The Eagle Has Landed,https://www.youtube.com/watch?v=4p6GWewmTYQ
8/29/19 16:25,Fake band name generator,West Magic,Male,Computer Science,Junior,1999,Trumpet,Ben Folds,Still,https://www.youtube.com/watch?v=ShBzUK4rnI8
8/27/19 15:40,Fake band name generator,Eller Angel,Male,Computer Science,Senior,1998,"Piano/Keyboards, Ukulele",blink-182,She's Out Of Her Mind,https://www.youtube.com/watch?v=krpm0v_486k
8/27/19 22:59,Fake band name generator,Trace Stripes,Male,Computer Science,Senior,1986,,brian jonestown massacre / sarabeth tucek,Seer,https://youtu.be/C-XT7DZsNP8
8/29/19 9:22,Fake rapper name generator,Lil SF,Male,Computer Science,Senior,1998,Sing,BROCKHAMPTON,NO HALO,https://www.youtube.com/watch?v=5PHqk_7kIWk
8/28/19 14:31,Fake rapper name generator,Baddest Burke,Male,Computer Science,Senior,1981,"Sing, Guitar, Bass, Drums/Percussion, Piano/Keyboards",Brother Ali,Can't Take That Away,https://youtu.be/mnSuoAqav8w?t=10
8/27/19 14:03,Fake rapper name generator,Prince Ridgecrest,Male,Computer Science,Senior,1997,"Rap, Drums/Percussion, Piano/Keyboards",Daboii,Beat in a Chokehold,https://www.youtube.com/watch?v=tFB-dpN3g3Q
8/28/19 10:18,Fake rapper name generator,Ice Escondido,Female,Computer Science,Senior,1998,"Sing, Clarinet",Daniel Caesar,Open Up,https://www.youtube.com/watch?v=pCjuVIypPwA
8/28/19 15:56,Fake band name generator,Lassen Farm,Male,Math,Junior,1974,Sing,De La Soul,Patty Dooke,https://www.youtube.com/watch?v=U0oVeLfW4p4
8/27/19 22:08,Fake band name generator,East Sounds,Male,Computer Science,Junior,1983,,Dead Kennedys,Kill The Poor,https://youtu.be/sgpa7wEAz7I
8/27/19 21:27,Fake rapper name generator,Balla Lincoln,Male,Computer Science,Senior,1998,,Dominic Fike,3 Nights,https://youtu.be/nb6ou_k4OzM
8/29/19 15:12,Fake band name generator,Edith Empire,Male,Computer Science,Senior,1998,"Sing, Clarinet, Bassoon, Saxophone",Don't have a favorite but here is Gorillaz,Any but here is Humility,https://www.youtube.com/watch?v=E5yFcdPAGv0
8/29/19 15:48,Fake band name generator,Band War,Male,Computer Science,Junior,1998,Drums/Percussion,Dream Theater,A Change of Seasons,https://www.youtube.com/watch?v=mZKrwJzGg0k
8/29/19 15:30,Fake rapper name generator,Baddest Veethacheng,Male,Computer information systems,Senior,1996,Sing,Ed Sheeran,Dive,https://www.youtube.com/watch?v=Wv2rLZmbPMA
