Timestamp,What was your pseudonym?,"40 crew	Not Enough",Arctic Monkeys Arabella,"Avatar	The Eagle Has Landed","Ben Folds	Still","blink-182	She's Out Of Her Mind","brian jonestown massacre / sarabeth tucek	Seer","BROCKHAMPTON	NO HALO","Brother Ali	Can't Take That Away","Daboii	Beat in a Chokehold","Daniel Caesar	Open Up","De La Soul	Patty Dooke","Dead Kennedys	Kill The Poor","Dominic Fike	3 Nights","Gorillaz	Any but here is Humility","Dream Theater	A Change of Seasons","Ed Sheeran	Dive","General Levy	Incredible (Remix)","Hiroyuki Sawano	S-ave","Jai Paul	Do You Love Her Now","Johnny Cash	We'll Meet Again","Kane Brown	What's Mine is Yours","Kim Petras	I dont want it at all","Led Zeppelin	Hey Hey What Can I Do","Marshmello	One Thing Right","Matisyahu	One Day","MF DOOM	Potholderz","mozzy	bladadah","Oliver Tree	Hurt","Radiohead	weird fishes arpeggi","Rainbow Kitten Surprise	Cocaine Jesus","Rick Astley	Never Going to Give You Up","Sia	Elastic Heart","Sixtoo	Jackals and Vipers in Envy of Man [Album]","Snakehips	Either Way","Sufjan Stevens	Should Have Known Better","Tame Impala	Patience","The Black Keys	Unknown Brother","The Byrds	Mr. Spaceman","Tool	Fear Inoculum","Traffic	Dear Mr. Fantasy","Travis Scott	Astrothunder","Virtual Self	Angel Voices","Wheezer	Buddy Holly"
9/2/19 23:51,Baddest Burke,3,7,6,4,5,6,4,10,3,6,7,5,5,5,5,7,2,3,6,8,2,2,10,2,8,7,6,6,6,6,5,5,4,6,6,5,7,7,8,7,2,1,8
9/3/19 12:38,Shooter Bank,4,6,5,3,1,7,6,4,3,9,6,8,8,6,6,3,4,9,10,10,4,1,9,4,10,9,5,5,5,8,10,9,10,6,10,8,9,8,8,9,6,4,6
9/3/19 15:36,Prophet Paradise,4,8,9,8,8,7,4,3,1,2,6,10,2,9,9,3,1,6,2,10,4,2,10,1,6,6,1,3,9,6,10,6,1,4,4,8,8,7,10,4,3,4,9
9/3/19 18:58,Smooth Yuba,8,5,2,3,4,5,10,7,3,8,2,2,7,9,5,7,4,4,4,3,6,5,5,6,6,5,4,10,7,3,10,6,4,6,5,8,7,6,3,6,10,2,10
9/3/19 19:16,Silence,3,5,4,5,8,5,3,4,3,2,2,1,4,7,3,7,2,4,4,2,8,9,7,7,4,3,4,7,6,4,6,7,2,6,5,5,6,6,4,4,3,5,7
9/3/19 21:27,West Garden,4,5,3,6,4,3,5,4,3,4,5,3,5,5,4,8,5,9,5,6,6,5,5,6,6,4,3,5,4,4,7,5,4,4,4,5,5,5,4,5,4,6,5
9/3/19 23:16,East Sounds,4,6,1,5,6,10,1,9,9,8,9,10,10,8,4,1,10,7,9,10,1,3,10,1,5,9,9,8,7,10,1,10,7,6,7,8,10,10,6,10,2,6,9
9/4/19 0:24,Balla Lincoln,1,7,3,4,8,3,7,6,3,5,4,3,10,7,3,6,3,2,5,6,7,6,9,5,5,5,6,6,8,6,6,4,2,5,5,3,5,7,4,5,9,2,6
9/4/19 1:42,Theory Party,8,9,7,8,10,7,10,10,6,9,10,10,9,10,7,7,10,8,8,10,7,9,10,5,8,8,8,10,7,7,10,10,9,7,8,8,9,8,10,10,7,10,8
9/4/19 15:29,Rollin' Ridgecrest,8,5,1,2,9,7,1,1,1,1,1,4,5,7,5,3,1,1,3,7,1,5,6,2,3,1,1,6,8,4,4,7,1,6,3,10,6,7,5,5,3,8,10
9/4/19 16:34,Chantel Farm,4,6,2,7,7,6,5,4,2,3,6,3,8,6,4,6,1,3,7,5,5,6,9,3,8,6,3,6,7,7,3,5,3,7,5,6,7,5,5,10,6,7,6
9/4/19 16:46,Mulberry Lost,3,6,3,5,6,4,3,2,1,1,6,3,1,2,8,1,1,1,3,8,1,1,9,1,10,1,1,4,5,6,10,1,4,1,4,6,7,7,8,4,1,8,9
9/4/19 22:21,Aspen War,7,5,1,4,5,4,1,7,7,7,7,10,4,7,7,1,8,4,3,7,1,5,5,1,3,7,10,3,7,8,10,8,7,4,7,5,6,4,5,7,3,7,5
9/5/19 9:05,Eller Angel,4,7,6,7,10,5,3,3,2,4,5,7,6,5,6,8,3,8,3,5,5,2,7,4,5,2,1,6,6,6,6,5,4,3,4,5,5,8,5,5,2,5,8
9/5/19 12:30,Mission Theory,4,7,1,5,7,2,2,2,1,3,3,3,5,5,4,10,1,4,4,5,9,7,8,8,7,3,2,5,5,5,6,9,1,8,8,6,6,6,4,6,1,1,5
9/5/19 13:37,Hobart Temple,1,10,1,5,5,10,8,10,1,8,3,2,9,5,1,4,4,1,6,7,1,3,10,6,8,8,2,3,5,6,3,7,5,8,6,7,10,6,5,8,4,2,9
9/5/19 14:13,Lil' Hills,1,4,1,3,9,3,7,5,4,3,2,2,9,6,1,8,2,2,2,4,10,5,5,10,5,4,2,6,5,4,10,5,1,6,4,7,4,3,2,2,4,7,5
9/5/19 14:22,Angel Angel,6,4,2,9,1,3,7,6,1,6,8,1,6,9,7,9,7,10,8,8,6,5,3,4,3,2,1,2,4,1,6,3,7,4,4,3,3,2,4,2,4,5,2
9/5/19 18:08,Skinny Brentwood,10,9,7,5,9,6,10,8,10,10,10,8,10,8,5,9,10,9,8,8,3,3,8,5,10,10,6,7,3,9,9,3,3,10,7,9,9,6,2,2,10,2,8
9/6/19 0:20,Trace Stripes,3,4,2,3,6,10,6,8,5,7,10,10,9,10,1,1,10,1,9,8,1,1,10,1,7,10,10,10,10,10,1,3,8,9,10,9,8,10,2,10,3,2,10
9/6/19 12:54,Lord Los Angeles,10,4,3,3,5,8,7,7,5,5,7,3,10,5,2,4,2,5,4,5,3,5,4,5,3,5,2,3,6,5,7,7,7,7,3,9,2,2,2,5,7,4,8
9/6/19 19:35,Sandy Temple,4,9,4,7,5,7,7,7,2,8,4,5,8,7,6,6,2,4,10,6,4,5,10,5,5,7,3,9,7,7,10,6,5,5,6,9,9,6,4,9,6,3,9
9/7/19 1:04,Angel Angel,6,5,3,6,8,6,6,6,8,5,5,4,7,8,5,6,5,7,6,8,3,5,9,2,6,6,5,6,7,6,10,8,3,5,6,6,7,6,5,8,7,5,6
9/7/19 17:30,Puppets War,5,9,10,4,7,3,5,4,2,4,5,6,5,7,10,7,6,7,6,9,4,2,10,6,7,4,5,7,6,6,10,6,6,4,5,6,8,8,10,8,5,6,8
9/7/19 22:43,Nord War,3,7,4,8,6,8,4,7,2,6,5,5,6,8,6,5,5,10,6,10,1,9,7,1,2,6,3,2,10,4,10,9,7,6,10,8,7,7,6,6,2,4,9
